date,resort,points,price_per_point,total_price
2026-01-10,SaratogaSprings,150,$114,
2026-01-10,SaratogaSprings,25,$135,
2026-01-10,SaratogaSprings,25,$129,
2026-01-10,SaratogaSprings,120,$115,
2026-01-10,SaratogaSprings,200,$103,
2026-01-10,SaratogaSprings,150,$104,
2026-01-10,SaratogaSprings,150,$104,
2026-01-10,SaratogaSprings,150,$98,
2026-01-10,SaratogaSprings,160,$105,
2026-01-10,SaratogaSprings,50,$128,
2026-01-10,SaratogaSprings,160,$110,
2026-01-10,SaratogaSprings,130,$96,
2026-01-10,SaratogaSprings,50,$114,
2026-01-10,SaratogaSprings,160,$92,
2026-01-10,SaratogaSprings,200,$104,
2026-01-10,SaratogaSprings,150,$106,
2026-01-10,SaratogaSprings,100,$118,
2026-01-10,SaratogaSprings,160,$103,
2026-01-10,SaratogaSprings,160,$118,
2026-01-10,SaratogaSprings,160,$113,
2026-01-10,SaratogaSprings,200,$103,
2026-01-10,SaratogaSprings,200,$96,
2026-01-10,VeroBeach,200,$55,
2026-01-10,VeroBeach,200,$46,
2026-01-10,VeroBeach,293,$42,
2026-01-10,VeroBeach,150,$47,
2026-01-10,VeroBeach,150,$41,
2026-01-10,VeroBeach,50,$63,
2026-01-10,VeroBeach,400,$42,
2026-01-10,VeroBeach,210,$54,
2026-01-10,VeroBeach,230,$50,
2026-01-10,VeroBeach,100,$53,
2026-01-10,VeroBeach,50,$63,
2026-01-10,VeroBeach,85,$59,
2026-01-10,VeroBeach,150,$52,
2026-01-10,VeroBeach,75,$59,
